date,n1,n2,n3,n4,n5,mega_ball
2025-01-03,20,42,46,59,69,19
2025-01-07,20,24,33,39,48,18
2025-01-10,9,23,39,65,66,22
2025-01-14,4,14,35,49,62,6
2025-01-17,8,10,37,54,69,22
2025-01-21,27,30,56,64,65,22
2025-01-24,8,12,43,52,62,18
2025-01-28,10,19,31,47,56,6
2025-01-31,9,28,48,56,63,2
2025-02-04,14,24,31,53,54,1
2025-02-07,4,24,32,41,55,16
2025-02-11,7,30,39,41,70,13
2025-02-14,11,19,31,49,56,16
2025-02-18,1,20,25,58,61,22
2025-02-21,1,13,28,37,46,10
2025-02-25,4,8,11,32,52,13
2025-02-28,9,19,30,35,66,16
2025-03-04,14,19,47,52,70,6
2025-03-07,8,20,48,58,60,7
2025-03-11,1,19,26,38,69,15
2025-03-14,3,17,39,42,70,1
2025-03-18,27,28,31,32,33,24
2025-03-21,15,22,31,52,57,2
2025-03-25,1,5,17,39,62,8
2025-03-28,2,9,31,60,63,23
2025-04-01,11,12,21,29,49,3
2025-04-04,11,28,35,37,69,25
2025-04-08,10,16,50,60,61,17
2025-04-11,15,37,38,56,58,19
2025-04-15,6,10,13,24,63,2
2025-04-18,5,13,15,17,28,1
2025-04-22,25,39,49,52,65,22
2025-04-25,38,40,60,62,70,9
2025-04-29,16,33,40,51,57,10
2025-05-02,14,37,40,41,68,2
2025-05-06,16,17,43,46,58,16
2025-05-09,9,10,12,48,60,16
2025-05-13,6,29,33,47,68,20
2025-05-16,2,22,42,62,66,14
2025-05-20,18,30,33,55,64,11
2025-05-23,7,18,40,55,68,18
2025-05-27,6,28,34,48,62,9
2025-05-30,2,28,37,38,58,13
2025-06-03,16,24,29,36,45,13
2025-06-06,16,40,54,56,57,3
2025-06-10,10,11,14,38,45,24
2025-06-13,8,10,22,40,47,1
2025-06-17,16,23,39,46,55,12
2025-06-20,26,49,58,61,63,9
2025-06-24,10,11,18,24,60,20
2025-06-27,18,21,29,42,50,2
2025-07-01,19,28,31,39,54,5
2025-07-04,17,20,24,41,42,24
2025-07-08,4,6,38,44,62,24
2025-07-11,12,23,24,31,56,1
2025-07-15,6,10,24,35,43,1
2025-07-18,11,43,54,55,63,3
2025-07-22,22,41,42,59,69,17
2025-07-25,14,21,25,49,52,7
2025-07-29,17,30,34,63,67,11
2025-08-01,18,27,29,33,70,22
2025-08-05,12,27,42,59,65,2
2025-08-08,2,6,8,14,49,12
2025-08-12,1,8,31,56,67,23
2025-08-15,4,17,27,34,69,16
2025-08-19,10,19,24,49,68,10
2025-08-22,18,30,44,48,50,12
2025-08-26,7,12,30,40,69,17
2025-08-29,13,31,32,44,45,21
2025-09-02,7,17,35,40,64,23
2025-09-05,6,14,36,58,62,24
2025-09-09,6,43,52,64,65,22
2025-09-12,17,18,21,42,64,7
2025-09-16,10,14,34,40,43,5
2025-09-19,2,22,27,42,58,8
2025-09-23,13,24,41,42,70,18
2025-09-26,4,21,27,33,49,21
2025-09-30,4,8,27,37,63,14
2025-10-03,18,19,38,54,57,19
2025-10-07,17,26,33,45,56,19
2025-10-10,3,18,23,32,56,8
2025-10-14,12,22,49,57,58,19
2025-10-17,9,21,27,48,56,10
2025-10-21,2,18,27,34,59,18
2025-10-24,11,18,31,51,56,24
2025-10-28,2,19,33,53,61,14
2025-10-31,2,24,52,66,68,9
2025-11-04,11,14,17,50,57,6
2025-11-07,16,21,23,48,70,5
2025-11-11,10,13,40,42,46,1
2025-11-14,1,8,11,12,57,7
2025-11-18,5,10,23,27,30,10
2025-11-21,3,4,19,31,63,9
2025-11-25,11,15,31,32,59,18
2025-11-28,6,7,13,39,48,4
2025-12-02,17,25,26,53,60,16
2025-12-05,34,38,42,44,69,8
2025-12-09,19,32,41,49,66,6
2025-12-12,10,50,55,58,59,5
2025-12-16,20,24,46,59,65,7
2025-12-19,1,11,27,39,59,18
2025-12-23,15,37,38,41,64,21
2025-12-26,9,19,31,63,64,7
2025-12-30,18,43,49,63,69,6
2026-01-02,6,13,34,43,52,4
2026-01-06,9,39,47,58,68,24
2026-01-09,12,30,36,42,47,16
2026-01-13,16,40,56,64,66,4
2026-01-16,2,22,33,42,67,1
2026-01-20,8,47,50,56,70,12
2026-01-23,30,42,49,53,66,4
2026-01-27,4,20,38,56,66,5
2026-01-30,11,34,36,43,63,13
2026-02-03,5,11,22,25,69,21
2026-02-06,13,21,25,52,62,19
2026-02-10,5,25,30,36,68,6
2026-02-13,34,40,49,59,68,1
2026-02-17,3,37,44,52,63,14
2026-02-20,15,40,48,58,63,2
2026-02-24,12,39,43,49,55,23
2026-02-27,11,18,39,43,67,23
2026-03-03,7,21,53,54,62,16
2026-03-06,8,19,26,38,42,24
2026-03-10,16,21,30,35,65,7
2026-03-13,6,19,36,40,55,9
2026-03-17,4,11,18,38,50,24
2026-03-20,11,20,51,55,63,4
2026-03-24,4,13,52,53,69,10
2026-03-27,13,27,28,41,62,16
2026-03-31,18,35,45,60,65,17
2026-04-03,31,45,62,63,68,15
2026-04-07,5,15,22,33,37,2
2026-04-10,3,18,36,42,49,6
2026-04-14,17,21,24,57,69,12
2026-04-17,38,43,44,49,62,8
2026-04-21,1,36,43,56,58,7
2026-04-24,7,16,32,35,40,12
2026-04-28,14,36,41,47,66,15
2026-05-01,16,21,27,41,61,24
2026-05-05,12,22,50,51,55,10
2026-05-08,37,47,49,51,58,16
2026-05-12,17,32,35,40,47,17
2026-05-15,17,23,25,52,61,3
2026-05-19,10,26,34,56,64,6
2026-05-22,3,22,34,54,61,8
2026-05-26,1,5,49,51,59,7
2026-05-29,19,24,47,59,65,7
2026-06-02,15,26,43,48,60,12
2026-06-05,13,30,50,52,66,2
2026-06-09,9,30,36,38,40,3
2026-06-12,9,17,24,39,51,3
2026-06-16,12,20,53,67,70,12
2026-06-19,13,16,21,26,50,12
2026-06-23,48,51,60,63,66,20
2026-06-26,5,13,30,33,52,6
2026-06-30,26,41,50,53,62,12
2026-07-03,5,9,29,47,57,16
